Actual TL,Predicted TL
1.69,1.92
4.18,0.06
20.81,1.9
0.43,0.27
4.62,4.74
4.64,2.13
1.18,1.21
0.01,0.25
2.82,0.02
5.17,2.75
3.4,1.44
0.22,4.97
0.24,0.67
0.35,0.47
0.02,0.05
5.59,2.6
0.03,0.04
0.04,0.05
3.42,2.84
4.14,2.72
0.05,0.03
0.79,2.09
0.22,0.26
0.02,0.05
0.19,0.34
0.04,0.04
5.73,3.6
5.67,0.04
6.52,6.68
2.95,5.18
1.28,1.19
0.03,0.09
0.01,0.03
1.2,1.08
4.16,0.87
1.51,1.41
0.04,0.02
0.1,0.86
0.05,0.16
0.09,4.28
0.33,0.04
3.33,2.38
0.28,0.02
4.46,5.85
0.01,0.05
0.06,0.03
4.11,3.37
0.22,0.36
0.05,0.01
3.41,7.51
3.02,3.98
4.43,0.67
0.08,0.05
1.65,3.43
2.57,7.26
3.33,3.71
0.2,0.02
5.49,7.66
0.25,0.43
0.07,0.03
2.08,0.5
0.04,0.04
0.02,0.04
0.04,0.05
0.01,0.07
0.02,0.95
3.94,5.38
0.01,0.03
2.66,5.74
0.04,0.08
0.16,0.32
0.04,0.03
3.85,4.04
0.04,0.02
6.73,3.53
0.13,0.08
0.03,0.02
2.2,0.02
0.05,0.03
5.82,3.5
4.86,0.04
0.12,0.18
0.04,0.03
0.78,0.23
3.09,6.65
1.47,0.27
6.51,7.26
0.69,0.08
4.73,0.04
0.05,0.14
0.04,0.05
0.04,0.02
6.46,6.18
0.04,0.02
0.05,0.07
5.24,5.28
3.91,5.08
4.28,4.84
2.32,3.76
0.06,0.12
5.07,5.32
0.73,0.45
0.16,0.86
0.02,0.02
5.94,4.57
0.03,0.03
0.5,0.36
3.97,6.1
8.06,2.12
0.36,1.74
5.74,0.02
0.1,0.03
0.04,0.03
1.86,0.02
0.13,0.3
3.44,2.4
0.02,0.05
3.75,3.54
0.3,0.38
7.37,6.88
0.05,0.06
3.37,1.19
5.33,0.03
0.1,0.1
4.97,2.17
0.02,0.05
6.67,3.75
3.6,3.78
0.03,0.03
0.03,0.04
0.04,0.02
0.04,0.02
0.36,0.05
0.03,0.04
0.01,0.04
0.04,0.04
4.81,10.37
0.04,0.04
0.43,0.82
3.75,1.24
0.09,0.1
6.94,5.02
0.03,0.06
6.41,4.92
0.07,0.82
3.88,5.09
3.05,4.02
1.12,1.98
2.78,0.03
0.04,0.43
0.04,0.06
4.48,2.54
15.19,4.85
0.04,0.02
4.64,0.04
0.05,0.02
7.36,0.03
0.39,0.31
0.08,6.32
0.22,0.3
1.25,1.26
0.2,0.47
0.4,0.28
0.24,0.07
0.31,0.29
0.07,0.07
1.52,0.67
0.02,0.02
0.02,0.04
6.86,0.02
0,0.03
5.71,6.18
0.23,0.03
4.92,0
0.37,0.05
0.81,0.02
1.56,3.86
0.01,0.04
0.03,0.03
0.04,0.29
0.41,0.03
3.23,2.35
0.73,0.33
0.24,0.02
2.67,0.02
3.67,7.67
4.62,1.19
0.03,0.03
0.17,0.06
0,0
0.12,0.29
0.08,0.16
3.21,5.26
2.05,0.46
3.76,3.49
0.03,0.06
1.56,0.02
0.09,0.09
0.33,0.02
0.12,0.27
8.71,3.66
0.33,1.36
5.54,0.03
0.04,0.07
4.83,7.05
5.97,0.02
0.03,0.04
0.11,0.05
0.08,0.13
2.63,3.61
0.08,0.02
0.16,0.02
2.45,5.95
3.43,4.07
6.24,2.25
0.52,0.65
4.55,0.03
0.04,0.06
0.27,0.09
0.2,0.2
2.01,3.28
1.22,2.25
2.32,0.12
2.16,4.29
0.04,0.04
4.48,0.06
1.51,1.84
0.02,0.04
0.32,0.17
4.42,2.52
0.25,1.05
0.06,0.05
1.06,1.93
0.04,0.09
4.87,7.63
0.19,0.03
0.09,0.07
6.32,0.02
0.03,0.03
1.24,0.04
0.03,0.08
0.82,0.36
0.03,0.01
0.06,0.03
0.12,0.04
3.77,5.92
3.94,0.02
0.1,0.01
7.25,0.08
0.09,0.03
0.45,0.09
0.22,0.52
0.49,0.28
0.17,0.08
7.08,3.31
8.63,0.03
0.03,0.03
4.11,1.93
0.03,0.02
1.56,2.48
3.17,9.55
0.17,0.08
0.01,0.03
18.16,12.95
0.07,0.02
0.03,0.02
0.39,1.02
0.01,0.02
0.33,0.16
8.22,4.73
0.03,0.03
0.09,0.08
0.73,0.06
0.07,0.05
0.04,0.02
6.77,1.95
4.68,2.99
0.32,0.17
0.05,0.06
2.1,2.73
4.65,6.51
29.58,4.44
0.03,0.03
3.06,4.68
0.34,0.37
4.03,2.37
0.04,0.04
0.04,0.03
0.3,0.25
2.25,1.63
0.22,0.19
0.03,0.02
0.08,0.03
0.65,0.7
0.06,0.91
1.3,0.95
0.05,0.07
1.25,1.46
12.49,0.07
3.75,2.87
0.23,0.03
3.45,7.68
0.51,0.23
0.08,0.12
0.35,0.32
5.29,0.03
0.04,0.06
4.89,4.4
0.4,0.39
2.7,0.16
